class,species
410,Panoquina panoquin
411,Panoquina panoquinoides
412,Panthiades bathildis
413,Papilio anchisiades
414,Papilio appalachiensis
415,Papilio aristodemus
416,Papilio brevicauda
417,Papilio canadensis
418,Papilio cresphontes
419,Papilio eurymedon
420,Papilio glaucus
421,Papilio indra
422,Papilio machaon
423,Papilio multicaudata
424,Papilio ornythion
425,Papilio palamedes
426,Papilio polyxenes
427,Papilio rumiko
428,Papilio rutulus
429,Papilio troilus
430,Papilio xuthus
431,Papilio zelicaon
432,Paratrytone snowi
433,Parnassius clodius
434,Parnassius smintheus
435,Parrhasius m-album
436,Pellicia arina
437,Phaeostrymon alcestis
438,Philotes sonorensis
439,Phocides pigmalion
440,Phocides polybius
441,Phoebis agarithe
442,Phoebis philea
443,Phoebis sennae
444,Pholisora catullus
445,Phyciodes batesii
446,Phyciodes cocyta
447,Phyciodes graphica
448,Phyciodes mylitta
449,Phyciodes orseis
450,Phyciodes pallidus
451,Phyciodes phaon
452,Phyciodes picta
453,Phyciodes pulchella
454,Phyciodes tharos
455,Pieris angelika
456,Pieris marginalis
457,Pieris oleracea
458,Pieris rapae
459,Pieris virginiensis
460,Piruna aea
461,Piruna pirus
462,Piruna polingii
463,Plebejus acmon
464,Plebejus anna
465,Plebejus fridayi
466,Plebejus glandon
467,Plebejus icarioides
468,Plebejus idas
469,Plebejus lupini
470,Plebejus melissa
471,Plebejus neurona
472,Plebejus optilete
473,Plebejus podarce
474,Plebejus saepiolus
475,Plebejus samuelis
476,Plebejus shasta
477,Poanes aaroni
478,Poanes hobomok
479,Poanes massasoit
480,Poanes melane
481,Poanes taxiles
482,Poanes viator
483,Poanes yehl
484,Poanes zabulon
485,Poladryas arachne
486,Poladryas minuta
487,Polites baracoa
488,Polites draco
489,Polites mystic
490,Polites origenes
491,Polites peckius
492,Polites sabuleti
493,Polites sonora
494,Polites themistocles
495,Polites vibex
496,Polygonia comma
497,Polygonia faunus
498,Polygonia gracilis
499,Polygonia interrogationis
500,Polygonia oreas
501,Polygonia progne
502,Polygonia satyrus
503,Polygonus leo
504,Polyommatus icarus
505,Pompeius verna
506,Pontia beckerii
507,Pontia occidentalis
508,Pontia protodice
509,Pontia sisymbrii
510,Problema bulenta
511,Problema byssus
512,Pseudocopaeodes eunus
513,Pyrgus albescens
514,Pyrgus centaureae
515,Pyrgus communis
516,Pyrgus oileus
517,Pyrgus philetas
518,Pyrgus ruralis
519,Pyrgus scriptura
520,Pyrgus xanthus
521,Pyrisitia dina
522,Pyrisitia lisa
523,Pyrisitia nise
524,Pyrisitia proterpia
525,Quasimellana eulogius
526,Rekoa marius
527,Satyrium acadica
528,Satyrium behrii
529,Satyrium calanus
530,Satyrium californica
531,Satyrium caryaevorus
532,Satyrium edwardsii
533,Satyrium favonius
534,Satyrium fuliginosa
535,Satyrium kingi
536,Satyrium liparops
537,Satyrium polingi
538,Satyrium saepium
539,Satyrium semiluna
540,Satyrium sylvinus
541,Satyrium tetra
542,Satyrium titus
543,Siproeta stelenes
544,Smyrna blomfildia
545,Spathilepia clonius
546,Speyeria aphrodite
547,Speyeria atlantis
548,Speyeria callippe
549,Speyeria coronis
550,Speyeria cybele
551,Speyeria diana
552,Speyeria edwardsii
553,Speyeria egleis
554,Speyeria hesperis
555,Speyeria hydaspe
556,Speyeria idalia
557,Speyeria mormonia
558,Speyeria nokomis
559,Speyeria zerene
560,Staphylus ceos
561,Staphylus hayhurstii
562,Staphylus mazans
563,Strephonota tephraeus
564,Strymon acis
565,Strymon albata
566,Strymon alea
567,Strymon bazochii
568,Strymon bebrycia
569,Strymon istapa
570,Strymon martialis
571,Strymon melinus
572,Strymon rufofusca
573,Systasea pulverulenta
574,Systasea zampa
575,Texola elada
576,Thorybes bathyllus
577,Thorybes confusis
578,Thorybes drusius
579,Thorybes mexicana
580,Thorybes pylades
581,Thymelicus lineola
582,Timochares ruptifasciata
583,Udara blackburni
584,Urbanus dorantes
585,Urbanus procne
586,Urbanus proteus
587,Urbanus teleus
588,Vanessa annabella
589,Vanessa atalanta
590,Vanessa cardui
591,Vanessa virginiensis
592,Vidius perigenes
593,Wallengrenia egeremet
594,Wallengrenia otho
595,Xenophanes tryxus
596,Zerene cesonia
597,Zerene eurydice
598,Zestusa dorus
599,Zizina otis
600,Zizula cyna
